geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00010367,33.5,4.9,45.7,15.9
E00010368,34.3,6.3,42.9,16.6
E00010369,33.8,5.4,50.7,10.1
E00010370,31.3,10,46.7,12
E00010371,22.9,2.9,66.2,8.1
E00010372,23.4,8.4,57.1,11
E00010456,29.6,15.3,38.8,16.3
E00010457,31.3,12.5,42,14.2
E00010459,42.2,15.2,24.5,18.1
E00010460,34,9.6,36.8,19.6
E00010461,29,14.5,41.6,15
E00010462,35.4,10.6,39.4,14.6
E00010463,40.1,10.4,26.7,22.8
E00010464,40.2,13.1,26.6,20.1
E00010466,42,20.3,16.1,21.7
E00010471,25.3,17.2,39.8,17.7
E00010474,32.2,14.4,33.9,19.5
E00010476,32.3,8.3,44.3,15.1
E00010479,33.5,9.7,32.4,24.4
E00010480,33.8,11.4,33.8,21
E00010481,32,13.1,29.4,25.5
E00010482,28.8,8.5,42.8,19.9
E00010484,33.8,11.1,40.6,14.5
E00010486,36.3,11.6,32.7,19.5
E00010487,30.6,9.4,43.1,16.9
E00010488,26.7,8.3,46.7,18.3
E00010489,32.1,8,41.5,18.3
E00010490,26,12.1,50.3,11.6
E00010491,41.3,10.5,32.8,15.4
E00010493,27.3,12.7,34,26
E00010497,42.3,23.1,23.1,11.5
E00010498,39.1,15.1,29.7,16.1
E00010504,37.4,16.6,23.3,22.7
E00010505,43.6,15,25.7,15.7
E00010510,43.8,12.5,24.2,19.5
E00010511,29.3,16.9,38,15.8
E00010512,38.2,25.3,14.7,21.8
E00010515,25.1,20.9,23.4,30.5
E00010516,29.4,14,29.4,27.3
E00010520,42.7,17.8,19.1,20.4
E00010521,46.6,17.2,13.8,22.4
E00010524,33.1,11.9,31.4,23.7
E00010526,39.1,15.7,23.9,21.3
E00010527,30.6,15,25,29.4
E00010531,30.7,14.6,39.2,15.6
E00010532,26,14.1,37.3,22.6
