geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00066226,95.6,3.9,0.6,0,0
E00066227,97.3,2.5,0.2,0,0
E00066228,94,4.5,1.2,0.2,0
E00066229,97.8,1.3,0.4,0.4,0
E00066230,95.5,3.5,1,0,0
E00066236,85.6,8.3,5.3,0.8,0
E00066237,95.8,4.2,0,0,0
E00066243,81.5,5.9,4.4,5.2,3
E00170748,81.4,14.8,3.2,0.6,0
E00170750,90,4.2,2.8,2.8,0.2
E00170756,93.6,4,1.3,1.1,0
E00170760,93.5,4.5,0.6,0.6,0.8
E00170761,92.8,4.6,1.3,1.3,0
E00174851,98.4,1.3,0.3,0,0
E00174853,96.4,2.2,0,0.6,0.8
E00174854,96.2,1.1,1.5,0.8,0.4
E00175334,95,3.1,0.9,0.6,0.3
E00175364,94.7,4.4,0,0,0.9
E00175366,97.3,1.8,0.9,0,0
E00175368,96.7,2.7,0.5,0,0
E00185465,91.4,3.3,0.5,0,4.8
E00185466,95.6,2.2,0.7,1.2,0.2
E00185469,93.4,3,0.5,0.8,2.2
E00185473,90.7,4.2,2,1.4,1.7
E00185475,95.6,3.4,0.7,0.3,0
E00185487,89.4,4.1,3.3,2.6,0.7
E00185490,91.6,6,0.9,0,1.4
E00185492,93.9,3.9,0.4,1.1,0.7
E00185495,97.5,2.5,0,0,0
E00185496,94.1,3.7,0.2,0.9,1.1
E00185497,95.3,4.3,0,0.4,0
E00185500,78.5,6,5.7,6.8,3
E00185502,95.3,4.1,0.3,0,0.3
E00185508,94.4,3.9,1.3,0.3,0.1
E00185517,95.2,1.9,0,1.5,1.5
E00185518,76.2,5.5,1.9,4.9,11.4
E00185523,89.3,1.3,4,4,1.3
E00185525,90.5,4.5,1.8,3.2,0
E00185527,95,2,2.8,0.3,0
E00185529,95.5,3.2,0.6,0,0.6
E00185532,98.5,1.5,0,0,0
E00185535,94.9,4.3,0.9,0,0
E00185548,97.5,1.1,1.1,0.4,0
E00185551,94.5,3.1,2.3,0,0
E00185560,85.7,14.3,0,0,0
E00185564,97,3,0,0,0
E00189213,79.1,14,5,1.9,0
E00189214,91.2,2.8,2.8,1.6,1.6
E00189224,79.5,7.1,2.4,3.2,7.8
E00189225,78.5,7.2,3.3,3.4,7.6
E00189226,81.6,6.5,5.6,3.7,2.5
E00189234,80.4,13.4,3,2.2,1.1
E00189235,80.1,10.3,1.4,0.7,7.4
E00189267,94,4.1,0,0,1.9
E00189272,92.2,4.1,0.3,1.6,1.9
E00189274,94,3.6,0.5,1.6,0.3
E00189276,91.6,4.2,3.3,0.3,0.6
E00189278,91.3,4.9,3.3,0.5,0
E00189283,94.1,4.4,1.3,0.3,0
E00189284,89.8,5.1,2.4,1.5,1.2
E00189287,96.3,2.4,0.8,0.5,0
E00189295,89.8,6.7,1.9,1,0.6
E00189316,80.2,7.1,2.3,2.1,8.2
