areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00182804,98.4,0.3,1.3
E00182808,89.3,1.1,9.6
E00182811,97.8,0,2.2
E00182814,95.5,2.4,2.1
E00182818,96.4,1.2,2.4
E00182821,98.5,0,1.5
E00182822,91.2,1.8,7.1
E00182825,95,0.9,4.1
E00182827,93,0.2,6.8
E00182829,98.3,0.2,1.4
E00182830,90.8,1.4,7.8
E00182831,97.7,0.8,1.6
E00182832,95,0,5
E00182834,94.4,3.2,2.4
E00182835,95.7,1.9,2.5
E00182836,90.8,5.9,3.4
E00182837,95,1.6,3.4
E00182838,93.7,0.9,5.4
E00182840,93.1,4.7,2.2
E00182843,98.9,0.4,0.7
E00182844,85.8,1.5,12.6
E00182845,92.8,1.6,5.6
E00182846,92.6,0.7,6.7
E00182847,98.6,0,1.4
E00182853,98.9,0,1.1
E00182859,97,0,3
E00182860,95.7,0,4.3
