areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000936,77.1,9.7,2.3,10.9
E02000937,83.1,8.6,2.5,5.9
E02000938,73,11.2,4,11.8
E02000939,85.5,7.3,2.4,4.8
E02000940,76.2,10.3,2.7,10.8
E02000941,85.8,6.9,1.4,5.9
E02000942,80.7,9.9,1.7,7.7
E02000943,84.6,6.5,1.1,7.8
E02000944,66,13.7,5.5,14.7
E02000945,62.8,15.2,5.2,16.8
E02000946,81.6,10,1.8,6.5
E02000947,82.9,7.7,1.9,7.5
E02000948,85.5,7.2,1.3,6
E02000949,88.3,6.2,0.6,5
E02000950,70.7,12,3.6,13.7
E02000951,85.3,6.8,0.9,6.9
E02000952,82.7,6.7,1.2,9.5
E02000953,81.8,6.5,1.8,9.8
E02000954,77.3,12.4,1.6,8.7
E02000955,75.1,12.6,2.5,9.7
E02000956,74.6,10.4,2.8,12.2
E02000957,74.4,10.7,3.3,11.6
E02000958,78.3,10.8,2.5,8.4
E02000959,71.1,11.6,3.8,13.5
E02000960,69.3,10.6,2.2,17.9
E02000961,66.9,15.2,3.6,14.3
E02000962,66.1,11.8,1.8,20.3
E02000963,68.2,16.7,3.2,11.9
E02000964,68.8,14.3,2.5,14.4
E02000965,69.6,13.4,2.4,14.6
E02000966,70.1,12.8,1.9,15.2
E02000967,67,11,1.5,20.5
E02000968,53.5,21.6,3.4,21.5
E02000969,57.7,20,4.4,17.8
E02000970,69.3,10.8,1.2,18.7
E02000971,64.6,11.2,1.2,23.1
E02000972,65.5,10,1,23.5
E02000973,70,11.1,1.5,17.3
E02000974,61.7,11.7,1.9,24.6
E02000975,62.8,11.9,1.5,23.8
E02000976,61.5,11.9,1.7,24.9
E02000977,70.9,8.6,0.7,19.8
E02000978,68.1,13.8,2.2,15.9
E02000979,70,9.7,1.8,18.6
E02000980,68.3,13.1,2,16.5
E02000981,75.2,9.3,1.2,14.3
E02000982,69.6,12.5,2.3,15.6
E02000983,68.6,12.4,2.5,16.4
E02003356,92.1,4.2,0.9,2.7
E02003407,76,9.8,4.9,9.4
