geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02006938,73,0.7,18.7,7.5
E02007010,89,0.1,10.6,0.3
E02007011,85.2,0.2,14.2,0.5
E02007012,85.1,0.4,12.3,2.2
E02007013,84.3,0.2,13.7,1.7
E02007014,89.6,0.2,9.4,0.9
E02007015,85.2,0.2,13.4,1.1
E02007016,85.3,0.2,13.4,1.1
E02007021,75.5,2.4,19.3,2.8
E02007048,89.8,0.3,9.6,0.3
E02007049,79.8,0.3,19.2,0.6
E02007070,90.9,0.2,8.5,0.4
E02007071,90,0.1,9.3,0.6
E02007072,87.6,0.3,11,1.1
E02007073,90.6,0.3,8.7,0.4
E02007088,90.4,0.3,9.1,0.2
E02007089,90.1,0.2,9.1,0.6
E02007090,89.7,0.3,9.4,0.6
E02007091,91.3,0.1,7.9,0.6
E02007092,89.3,0.9,8.5,1.2
E02007093,92.3,0.3,7,0.5
E02007116,76.8,2.4,17.2,3.5
